_id	OPERADOR	DENOMINACIÓN	TIPO DE OPERADOR	MACRODISTRITO	PLACA	TIPO	MARCA	COLOR
4773	Radio Taxi	SERVI MOVIL TRUST TOURING S.R.L.	Empresa	MACRODISTRITO 7 CENTRO-ROSARIO	5755NII	GRANTA	LADA	ROJO
4774	Radio Taxi	SERVI MOVIL TRUST TOURING S.R.L.	Empresa	MACRODISTRITO 7 CENTRO-ROSARIO	4148AAE	ALTO	SUZUKI	GRIS
4775	Radio Taxi	TRANS SERVICE SOLSTICIO	Empresa	MACRODISTRITO 2 MAXIMILIANO PAREDES-CHAMOCO CHICO	2804PGI	sprinter careb	TOYOTA	NEGRO
4776	Radio Taxi	SERVIVALLE DEL SUR S.R.L.	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	4073AYK	gc6	GEELY	NEGRO
4777	Radio Taxi	TOUR SERVICE DUKES	Empresa	MACRODISTRITO 5 SUR-SEGUENCOMA ALTO	634GXU	corolla	TOYOTA	BLANCO
4778	Radio Taxi	RADIO MOVIL ACHUMANI S. R. L.	Empresa	MACRODISTRITO 5 SUR-ACHUMANI	2181DKA	espcio	TOYOTA	BLANCO
4779	Radio Taxi	RADIO MOVIL T.J.L. FLORES	Empresa	MACRODISTRITO 5 SUR-COTA COTA	1798XUT	CARIB	TOYOTA	PLATEADO
4780	Radio Taxi	RADIO MOVIL YHESMAR	Empresa	MACRODISTRITO 3 PERIFERICA-VINO TINTO	1453FHL	Sprinter	TOYOTA	DORADO
4781	Radio Taxi	RMOVIL BOLIVIA TOURS	Empresa	MACRODISTRITO 2 MAXIMILIANO PAREDES-CHAMOCO CHICO	2803HTE	FOREST	SUBARU	PLATEADO
4782	Radio Taxi	RADIO MOVIL EUROSUR	Empresa	MACRODISTRITO 5 SUR-IRPAVI	1003PFN	NO DECLARA	TOYOTA	BLANCO
4783	Radio Taxi	R. M.SEÑORIAL DEL SUR	Empresa	MACRODISTRITO 5 SUR-ALTO CALACOTO	5618HHC	GOL	VOLKSWAGEN	BLANCO
4784	Radio Taxi	R. M.SEÑORIAL DEL SUR	Empresa	MACRODISTRITO 5 SUR-ALTO CALACOTO	1146YPG	TERCEL	TOYOTA	NO REGISTRADO
4785	Radio Taxi	LUZCAR	Empresa	MACRODISTRITO 3 PERIFERICA-VINO TINTO	1468AHN	CALDINA	TOYOTA	NEGRO COMBINADO
4786	Radio Taxi	ASOCIACIÓN DE TRANSPORTISTAS PULPOS DEL SUR	Asociación	MACRODISTRITO 5 SUR-ALTO ACHUMANI	1452PPG	sprinter	TOYOTA	PLOMO
4787	Radio Taxi	ASOCIACIÓN DE TRANSPORTISTAS PULPOS DEL SUR	Asociación	MACRODISTRITO 5 SUR-ALTO ACHUMANI	1573IEG	carib	TOYOTA	VERDE
4788	Radio Taxi	RADIO TAXI DIAMOND	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	3128ZEU	Sx4	SUZUKI	GRIS PERLA
4789	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	956YZY	CARIB	TOYOTA	BLANCO
4790	Radio Taxi	RADIO TAXI MEGA SERVICE	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	1572KDU	Ed	TOYOTA	BLANCO PERLA
4791	Radio Taxi	SAT - SERVIS	Empresa	MACRODISTRITO 4 SAN_ANTONIO-SAN ANTONIO	5737GLF	baleno	SUZUKI	GRIS
4792	Radio Taxi	RADIO MOVIL EUROSUR	Empresa	MACRODISTRITO 5 SUR-IRPAVI	1867NBK	COROLLA	TOYOTA	GRIS
4793	Radio Taxi	RADIO MOVIL CHUQUIAGO	Empresa	MACRODISTRITO 3 PERIFERICA-BARRIO GRAFICO	5308EPT	sy64	JIN BEI	BLANCO
4794	Radio Taxi	PLUS SERVICE	Empresa	MACRODISTRITO 5 SUR-CALACOTO	3868INH	Cube	NISSAN	CRIS
4795	Radio Taxi	RADIO MOVIL ACHUMANI S. R. L.	Empresa	MACRODISTRITO 5 SUR-ACHUMANI	2051ZBA	PLATZ	TOYOTA	NEGRO
4796	Radio Taxi	RADIO MOVIL NAVAL DEL SUR S.R.L.	Empresa	MACRODISTRITO 5 SUR-SEGUENCOMA ALTO	678UXS	STARLET	TOYOTA	BLANCO
4797	Radio Taxi	RADIO MOVIL NAVAL DEL SUR S.R.L.	Empresa	MACRODISTRITO 5 SUR-SEGUENCOMA ALTO	1440RGE	MITSUBISHI	MITSUBISHI	VERDE CONBINADO
4798	Radio Taxi	"SINDICATO MIXTO DE TRANSPORTES ""TERMINAL 81"""	Sindicato	MACRODISTRITO 3 PERIFERICA-CHALLAPAMPA (PERIFERICA)	2155ETB	VAGONETA	TOYOTA	GRIS COMBINADO
4799	Radio Taxi	"SINDICATO MIXTO DE TRANSPORTES ""TERMINAL 81"""	Sindicato	MACRODISTRITO 3 PERIFERICA-CHALLAPAMPA (PERIFERICA)	1226FKE	VAGONETA	TOYOTA	PLOMO
4800	Radio Taxi	RADIO TAXI MEGA SERVICE	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	5757NSC	FJ6440CGK	KEYTON	BLANCO
4801	Radio Taxi	RADIO MOVIL SAINT MIGUEL JOEL S.R.L.	Empresa	MACRODISTRITO 5 SUR-LOS PINOS	1081SDI	COROLLA	TOYOTA	BLANCO
4802	Radio Taxi	RADIO MOVIL VCOS SERVICE	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	5677BII	V60	KEYTON	GRIS
4803	Radio Taxi	RADIO TAXI SERVISUR L.P. LTDA.	Empresa	MACRODISTRITO 5 SUR-COTA COTA	5001PPP	COROLLA AXIO	TOYOTA	PLATEADO
4804	Radio Taxi	RADIO MOVIL NAVAL DEL SUR S.R.L.	Empresa	MACRODISTRITO 5 SUR-SEGUENCOMA ALTO	5644KGA	SUZUKI	SUZUKI	BLANCO
4805	Radio Taxi	MAXI TAXI	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES BAJO	4756KTS	gratour	FOTON	PLATEADO
4806	Radio Taxi	RADIO MOVIL SAINT MIGUEL JOEL S.R.L.	Empresa	MACRODISTRITO 5 SUR-LOS PINOS	2189GCA	COROLLA SPACIO	TOYOTA	PLATEADO
4807	Radio Taxi	CALL CAR BOLIVAR DEL SUR	Empresa	MACRODISTRITO 5 SUR-ALTO ACHUMANI	4815LGF	Vagoneta	KEYTON	GRIS
4808	Radio Taxi	SERVI MOVIL TURISMO TOP	Empresa	MACRODISTRITO 1 COTAHUMA-SAN PEDRO ALTO	5283ZIS	ertiga	SUZUKI	GRIS
4809	Radio Taxi	OBRAJES LIMITADA	Empresa	MACRODISTRITO 5 SUR-OBRAJES	1856ILX	CALDINA	TOYOTA	VERDE
4810	Radio Taxi	TRANS CUATRO RUEDAS ALFA S.R.L.	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	5600HRP	COROLLA FIELDER	TOYOTA	PLATEADO
4811	Radio Taxi	OBRAJES LIMITADA	Empresa	MACRODISTRITO 5 SUR-OBRAJES	2126BSR	COROLLA	TOYOTA	BLANCO
4812	Radio Taxi	OBRAJES LIMITADA	Empresa	MACRODISTRITO 5 SUR-OBRAJES	2431NES	PROBOX	TOYOTA	BLANCO COMBINADO
4813	Radio Taxi	TRANS CUATRO RUEDAS ALFA S.R.L.	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	2215YAR	corolla	TOYOTA	BLANCO
4814	Radio Taxi	REMISSE SUR RADIO MOVIL	Empresa	MACRODISTRITO 5 SUR-CALACOTO	2368ZBl	Corolla	TOYOTA	PLATEADo
4815	Radio Taxi	REMISSE SUR RADIO MOVIL	Empresa	MACRODISTRITO 5 SUR-CALACOTO	2368ZBL	Corolla	TOYOTA	PLATEADO
4816	Radio Taxi	REMISSE SUR RADIO MOVIL	Empresa	MACRODISTRITO 5 SUR-CALACOTO	1711DAD	Corolla	TOYOTA	PLOMO
4817	Radio Taxi	UNISUR S.R.L.	Empresa	MACRODISTRITO 5 SUR-IRPAVI	2133AKE	PLATZ	TOYOTA	PLATEADO
4818	Radio Taxi	RADIO TAXI EL G. M.	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	668HJR	Corolla	TOYOTA	BLANCO
4819	Radio Taxi	RADIO MOVIL EUROSUR	Empresa	MACRODISTRITO 5 SUR-IRPAVI	3041FPN	YARIS	TOYOTA	ROJO
4820	Radio Taxi	PANAMERICANA MONRROY VERA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	2195HXI	CALDINA	TOYOTA	NEGRO
4821	Radio Taxi	EMPRESA DE TRANSPORTES ETAXI.BO S.A.	Empresa	MACRODISTRITO 5 SUR-CALACOTO	4006ABN	I10	HYUNDAI	NARANJA
4822	RADIO TAXI	AXCELBO	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	5719PLH	GOL	VOLKSWAGEN	GRIS
4823	RADIO TAXI	AXCELBO	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	575SYL	CORONA	TOYOTA	BLANCO
4824	Radio Taxi	ESTRELLA DE SAN PEDRO BELLO HORIZONTE	Empresa	MACRODISTRITO 1 COTAHUMA-SAN PEDRO ALTO	1819NEU	Corolla	TOYOTA	BLANCO
